iter	Passed	Remaining
0	1	192
1	3	175
2	5	166
3	6	152
4	8	153
5	10	157
6	11	155
7	13	157
8	15	157
9	17	156
10	19	154
11	21	154
12	23	156
13	25	157
14	29	168
15	31	165
16	32	160
17	34	155
18	35	150
19	36	145
20	37	141
21	39	138
22	40	134
23	41	132
24	43	129
25	44	126
26	45	123
27	46	120
28	47	117
29	49	114
30	50	111
31	51	109
32	52	106
33	54	104
34	55	103
35	56	101
36	58	98
37	59	96
38	60	94
39	61	92
40	62	90
41	63	87
42	64	85
43	65	83
44	66	81
45	68	80
46	69	78
47	70	76
48	72	75
49	73	73
50	74	71
51	76	70
52	77	68
53	78	66
54	79	64
55	80	63
56	81	61
57	82	60
58	84	58
59	85	57
60	86	55
61	87	53
62	89	52
63	90	50
64	91	49
65	92	47
66	93	46
67	94	44
68	96	43
69	98	42
70	100	41
71	102	39
72	104	38
73	105	37
74	107	35
75	108	34
76	109	32
77	111	31
78	112	29
79	113	28
80	115	27
81	116	25
82	117	24
83	118	22
84	119	21
85	121	19
86	122	18
87	123	16
88	124	15
89	126	14
90	128	12
91	130	11
92	131	9
93	132	8
94	133	7
95	134	5
96	136	4
97	137	2
98	138	1
99	139	0
